Time,ó‚ãpêÖëóÇËâ∑ìx,îrîMâÒé˚ï‚ããêÖâ∑ìx
2023-03-08 08:20:00,  16.8,  12.1
2023-03-08 08:22:00,  16.9,  12.1
2023-03-08 08:23:00,  17.2,  12.2
2023-03-08 08:24:00,  17.3,  12.2
2023-03-08 08:25:00,  17.2,  12.2
2023-03-08 08:26:00,  16.9,  12.1
2023-03-08 08:27:00,  16.9,  12.1
2023-03-08 08:28:00,  16.8,  12.3
2023-03-08 08:29:00,  16.6,  12.2
2023-03-08 08:30:00,  16.7,  12.3
2023-03-08 08:31:00,  16.6,  12.2
2023-03-08 08:32:00,  16.6,  12.2
2023-03-08 08:33:00,  16.8,  12.4
2023-03-08 08:34:00,  16.7,  12.3
2023-03-08 08:35:00,  17.0,  12.5
2023-03-08 08:36:00,  16.9,  12.4
2023-03-08 08:37:00,  16.8,  12.3
2023-03-08 08:38:00,  17.0,  12.4
2023-03-08 08:39:00,  17.0,  12.3
2023-03-08 08:40:00,  17.1,  12.3
2023-03-08 08:41:00,  17.1,  12.2
2023-03-08 08:42:00,  17.1,  12.1
2023-03-08 08:43:00,  17.5,  12.3
2023-03-08 08:44:00,  17.4,  12.1
2023-03-08 08:45:00,  17.4,  12.1
2023-03-08 08:46:00,  17.6,  12.2
2023-03-08 08:47:00,  17.4,  12.0
2023-03-08 08:48:00,  17.6,  12.1
2023-03-08 08:49:00,  17.4,  11.9
2023-03-08 08:50:00,  17.5,  12.0
2023-03-08 08:51:00,  17.5,  12.0
2023-03-08 08:52:00,  17.7,  12.1
2023-03-08 08:53:00,  17.5,  11.9
2023-03-08 08:54:00,  17.7,  12.1
2023-03-08 08:55:00,  17.5,  12.0
2023-03-08 08:56:00,  17.6,  12.0
2023-03-08 08:57:00,  17.4,  12.0
2023-03-08 08:58:00,  17.3,  12.0
2023-03-08 08:59:00,  17.1,  12.0
2023-03-08 09:00:00,  17.3,  12.3
2023-03-08 09:01:00,  17.2,  12.3
2023-03-08 09:02:00,  17.0,  12.2
2023-03-08 09:03:00,  17.2,  12.3
2023-03-08 09:04:00,  17.6,  12.6
2023-03-08 09:05:00,  17.5,  12.4
2023-03-08 09:06:00,  17.7,  12.5
2023-03-08 09:07:00,  18.0,  12.6
2023-03-08 09:08:00,  18.1,  12.8
2023-03-08 09:09:00,  17.8,  12.6
2023-03-08 09:10:00,  17.9,  12.8
2023-03-08 09:11:00,  17.9,  12.8
2023-03-08 09:12:00,  18.1,  12.9
2023-03-08 09:13:00,  18.0,  12.9
2023-03-08 09:14:00,  17.9,  12.9
2023-03-08 09:15:00,  17.6,  12.8
2023-03-08 09:16:00,  17.9,  13.0
2023-03-08 09:17:00,  17.8,  12.9
2023-03-08 09:18:00,  17.9,  12.9
2023-03-08 09:19:00,  18.1,  13.0
2023-03-08 09:20:00,  18.3,  13.1
2023-03-08 09:21:00,  18.4,  13.0
2023-03-08 09:22:00,  18.4,  13.0
2023-03-08 09:23:00,  18.6,  13.1
2023-03-08 09:24:00,  18.9,  13.3
2023-03-08 09:25:00,  19.0,  13.3
2023-03-08 09:26:00,  18.6,  13.2
2023-03-08 09:27:00,  18.2,  13.2
2023-03-08 09:28:00,  17.7,  13.1
2023-03-08 09:29:00,  17.2,  13.1
2023-03-08 09:30:00,  16.9,  13.2
2023-03-08 09:31:00,  16.6,  13.3
2023-03-08 09:32:00,  15.9,  13.2
2023-03-08 09:33:00,  15.8,  13.4
2023-03-08 09:34:00,  15.3,  13.2
2023-03-08 09:35:00,  15.5,  13.4
2023-03-08 09:36:00,  15.7,  13.4
2023-03-08 09:37:00,  16.1,  13.4
